source_root_id,relative_path,source_kind,source_sha256,pixel_sha256,stable_image_id,shape_y,shape_x,frames,channels,dtype,bit_depth,min,max,mean,std,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100,saturation_value,saturation_count,zero_count,culture_id,disease,tau_isoform,experimental_condition,div,div_token,series_index,filename_prefix,acquisition_group,experimental_group_id,parse_status,deprecated_inferred_pn,deprecated_inferred_round,deprecated_inferred_condition,deprecated_inferred_div,deprecated_biological_group_candidate,file_duplicate_group,pixel_duplicate_group,thumbnail_duplicate_group,near_duplicate_candidate_group,near_duplicate_score,near_duplicate_method,validation_flags,intended_split_status
sted_fiber_data,PN148_3R_AD_DIV03 (Series 0) [1].tif,fiber_image,c7a7709d9312e1417c0a334d62ba82c4d2f786b5d7ede6ef662e2626273fc5eb,6c3444cac9d38630d747096fd42fe2ec9b36a13ba6bf3b60d3ae8ebf1e77a720,img_1959d9d25f6cfc60070a,1024,1024,1,1,uint8,8,0,255,38.2139,40.5746,0,0,0,1,6,16,71,110,157,210,255,255,26,17905,PN148,AD,3R,AD_3R,3,DIV03,0,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,saturation;strong_row_or_column_variation,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 1) [1].tif,fiber_image,60cff72321a5caa6cc56f607b4917074ca94d98b178f421aeebdd851643b42bf,8c5e130eeb6b3f26b879582a0af16fb772bfabd37b22938051fd14befdf01fc6,img_857d8bd24d6057b89507,1024,1024,1,1,uint8,8,0,155,9.66313,10.37,0,0,0,0,3,6,13,29,51,84,155,255,0,60013,PN148,AD,3R,AD_3R,3,DIV03,1,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,none,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 10) [1].tif,fiber_image,74d3e99c3620726c5014561e51573402ddff8a8a5b128dcae692707c231ddc13,b22896ef5433e9f0468b982bce41f732254e692e517138a2d04598d14442eee1,img_a7cb5c7ce1a3808ce615,1024,1024,1,1,uint8,8,0,228,9.59336,12.6938,0,0,0,0,3,6,13,31,62,124,228,255,0,98543,PN148,AD,3R,AD_3R,3,DIV03,10,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,elongated_high_intensity_component,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 11) [1].tif,fiber_image,ca7fdd44c21c002f51dd2fb78b3074e596e5233be109412363ff5d2fb5c4057b,3c923f4e9b1f12c7d132c1bd40439cdc53bbd5072a91dfce87c2f2712ac38e9f,img_bee96ff54c8c65ed14f5,1024,1024,1,1,uint8,8,0,140,6.05458,6.94676,0,0,0,0,3,4,8,18,36,62,140,255,0,90134,PN148,AD,3R,AD_3R,3,DIV03,11,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,elongated_high_intensity_component,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 12) [1].tif,fiber_image,07589df171e371826c80a0e6bf0904f489941e3e3a34a7f69de694e26f71dae7,8da0f1e724aea64a6a8ea812faabccaaed1cb36bd3fb4bd701ae882407c8e32e,img_27e3fe46349e697939aa,1024,1024,1,1,uint8,8,0,162,10.1945,9.43818,0,0,0,1,4,8,14,27,44,77,162,255,0,46390,PN148,AD,3R,AD_3R,3,DIV03,12,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,elongated_high_intensity_component,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 13) [1].tif,fiber_image,636df90f4ad10d580edfacccd6a8bd415174f669c43903aee65475f2d60aa7c7,18baef63b5d43d36e9a0a7bbd3c212dfde3e6ac627c8da948a8e0fa22a7a2c8b,img_61e364d26b504ca9ad65,1024,1024,1,1,uint8,8,0,197,10.338,13.8386,0,0,0,0,3,6,13,34,71,127,197,255,0,97939,PN148,AD,3R,AD_3R,3,DIV03,13,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,none,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 14) [1].tif,fiber_image,863f215e05c89be481e6186f53afa9cd2be62df63fbb347088535ab06b4dfc9b,5fdeffdc6d921ac7391b8e68d0beacf9f3b8d84efd46f8e7bd20751bcc081ac9,img_afaca9f73903d7d99868,1024,1024,1,1,uint8,8,0,252,12.0431,12.5972,0,0,0,1,4,9,16,32,57,135,252,255,0,38693,PN148,AD,3R,AD_3R,3,DIV03,14,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,none,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 2) [1].tif,fiber_image,a29dd48ac8465130fb58ffb10f2b72db5d65c70a199baef8355308750f94869d,af0e3250eae985d95c37869d4d278b1f8e34681577658c32958d03d2ce910717,img_78427846b07df5eb251c,1024,1024,1,1,uint8,8,0,255,12.5791,20.3783,0,0,0,0,3,6,14,42,120,182,255,255,17,60211,PN148,AD,3R,AD_3R,3,DIV03,2,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,saturation,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 3) [1].tif,fiber_image,5217e4c7bfbbab4139c6e2e67b9c04e8ef72a2d34fb752b8a37dc1c7f9ccd096,01414493ffb00e719a18e0839bae1a2bfdea6f0f8428b6f26246cea363f7063a,img_7dd848fffe5f7f5ef274,1024,1024,1,1,uint8,8,0,248,6.32663,11.6793,0,0,0,0,1,4,6,21,56,154,248,255,0,112161,PN148,AD,3R,AD_3R,3,DIV03,3,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,none,unassigned
sted_fiber_data,PN148_3R_AD_DIV03 (Series 4) [1].tif,fiber_image,cd1cc16c89f4d7ead3f3350c25a4f9a451470df0b9fb015e4eb6e74fa4c31878,a43b7f42fd70ab79c7100f47623d2066f427d931768f1c9dbd11db3cb66a5004,img_4d555ff97f5b63f168f8,1024,1024,1,1,uint8,8,0,174,5.78222,8.09184,0,0,0,0,1,4,8,14,36,105,174,255,0,94095,PN148,AD,3R,AD_3R,3,DIV03,4,PN148_3R_AD_DIV03,PN148_3R_AD_DIV03,PN148_AD_3R_DIV03,parsed,PN148,3R,AD,DIV03,PN148_AD_3R_DIV03,none,none,none,none,not_applicable,normalized_thumbnail_ncc_threshold_0.995,elongated_high_intensity_component,unassigned
